gender,product_category,product_name,details,category_type,combined_features,text,weather_label
men,ACCESSORIES,basic training short,workout short lightweight stretchy technical fabric elasticate waistband drawstring pocket security pocket thermoseale zip closure line inner leg length cm slit hem logo print legzara athleticzview,Accessories,short lightweight thermoseale short,short lightweight thermoseale short basic training short,10-15°C cool weather
men,ACCESSORIES,technical backpack,multipocket backpack main compartment zip closure interior small pocket zip closure feature large pocket zip adjustable fasten pocket adjustable fasten handle adjustable shoulder strap ergonomic pad improved comfort use adjustable strap chest clip buckle fasteningheight x length x width x x cm x x view,Accessories,backpack,backpack technical backpack,10-15°C cool weather
men,ACCESSORIES,sport backpack,multipocket backpack combination material colour exterior main compartment fasten zip feature inside pocket closure electronic device inch flat pocket zip closure adjustable mesh pocket side handle adjustable shoulder strap zip pocket ergonomic pad improved comfort use adjustable chest strap clip buckle fasten height x length x width x x cmview,Accessories,backpack,backpack sport backpack,10-15°C cool weather
men,ACCESSORIES,technical bucket hat,bucket hat breathable stretch fabric adjustable matching drawstringzara athleticz,Accessories,hat breathable,hat breathable technical bucket hat,rain
men,ACCESSORIES,rolltop sport backpack,multipocket backpack combination material exterior main compartment fasten zip roll clip buckle side open zip closure small pocket thermoseale zip fastening feature adjustable mesh pocket side handle adjustable breathable shoulder strap compartment thermoseale zip closure ergonomic pad improved comfort use adjustable chest clip buckle fasteningheight x length x width x x cm x x view,Accessories,backpack breathable thermoseale,backpack breathable thermoseale rolltop sport backpack,10-15°C cool weather
men,ACCESSORIES,pack training sock,pack pair sock spun cotton blend fabric rib trimszara athleticz,Accessories,cotton,cotton pack training sock,10-15°C cool weather
men,ACCESSORIES,pack training sock,pack pair seamless sock rib trimszara athleticz,Accessories,, pack training sock,10-15°C cool weather
men,ACCESSORIES,nylon toiletry bag,toiletry bag combination material upper main compartment zip closure small pocket inside fasten pocket technical clasp fasten handle different sizesheight x length x width x x cm x x view,Accessories,nylon bag,nylon bag nylon toiletry bag,15-20°C mild weather
men,ACCESSORIES,nylon belt bag,soft belt bag technical fabric upper main compartment zip closure pocket technical clasp adjustable handle clip buckle height x length x cm x view,Accessories,nylon bag belt,nylon bag belt nylon belt bag,15-20°C mild weather
men,ACCESSORIES,training short,workout short lightweight stretchy technical fabric elastic waistband drawstring security pocket thermoseale zip closure line inner leg length cm slit hem logo print legzara athleticzview,Accessories,short lightweight thermoseale short,short lightweight thermoseale short training short,10-15°C cool weather
men,ACCESSORIES,sport backpack,multipocket backpack combination material colour upper main compartment zip fastening different height access pocket adjustable thank technical fastener adjustable mesh pocket side handle adjustable shoulder strap ergonomic pad improved comfort use adjustable strap chest clip buckle fasteningheight x length x width x x cm x x athleticz collectionview,Accessories,backpack,backpack sport backpack,10-15°C cool weather
men,ACCESSORIES,training sock,pack pair seamless mesh sock rib trim,Accessories,, training sock,10-15°C cool weather
men,ACCESSORIES,athleticz laken l oz thermos bottle,thermos bottle laken brand stainless steel cap screwtype closure automatic button drink mouthpiece litre capacity free bpa phthalate harmful substance internal coating polyamide varnish free epoxy resin totally safe resistant completely insulate thecontent protect break crack dent blow retain impart flavour reusable recyclable hermetic closureview,Accessories,polyamide bottle cap insulate thermos,polyamide bottle cap insulate thermos athleticz laken l oz thermos bottle,5-10°C cold weather
men,ACCESSORIES,baseball training cap,peak cap adjustable strap backzara athleticz,Accessories,cap,cap baseball training cap,10-15°C cool weather
men,ACCESSORIES,training short,training short lightweight stretchy technical fabric inner mesh design practise sport elastic waistband inner drawstring hip pocket inner leg length cm print logo detail reflective effectzara athleticzview,Accessories,short lightweight short,short lightweight short training short,10-15°C cool weather
men,ACCESSORIES,strappy cycling culotte,culotte highly stretchy fabric elastic strap freedom movement flatlock antiabrasion seam ergonomic bikepad quickdrye bacteriostatic fabric suitable training type distance differentiate bikepad fill relieve pressure central foam mm thick perforate well ventilation insert mm thick allow wide position range bike reflectiveeffect appliqué legszara athleticzview,Accessories,, strappy cycling culotte,10-15°C cool weather
men,ACCESSORIES,cap,cap stretchy breathable fabric secure fit inner elastic bandzara athleticz,Accessories,cap breathable,cap breathable cap,rain
men,ACCESSORIES,technical bucket hat,hat lightweight technical fabric feature wide brim topstitche detail adjustable chin tiezara athleticz,Accessories,hat lightweight,hat lightweight technical bucket hat,rain
